site,species_code,chinese_name,latin_name,family,genus_cn,source,latin_missing
cbl,LOCH,红花檵木,Loropetalum chinense,金缕梅科,_木属,splist/original/census_2022_cbl.csv,FALSE
cbl,PABU,橉木,Padus buergeriana,蔷薇科,稠李属,splist/original/census_2022_cbl.csv,FALSE
cbl,AKTR,三叶木通,Akebia trifoliata,木通科,木通属,splist/original/census_2022_cbl.csv,FALSE
cbl,CEFO,三尖杉,Cephalotaxus fortunei,三尖杉科,三尖杉属,splist/original/census_2022_cbl.csv,FALSE
cbl,ILTR,三花冬青,Ilex triflora,冬青科,冬青属,splist/original/census_2022_cbl.csv,FALSE
cbl,RETH,两广梭罗,Reevesia thyrsoidea,梧桐科,梭罗树属,splist/original/census_2022_cbl.csv,FALSE
cbl,ACCH,中华猕猴桃,Actinidia chinensis,猕猴桃科,猕猴桃属,splist/original/census_2022_cbl.csv,FALSE
cbl,PHBE,中华石楠,Photinia beauverdiana,蔷薇科,石楠属,splist/original/census_2022_cbl.csv,FALSE
cbl,PHTA,乌心楠,Phoebe tavoyana,樟科,楠属,splist/original/census_2022_cbl.csv,FALSE
cbl,DIER,乌材,Diospyros eriantha,柿树科,柿树属,splist/original/census_2022_cbl.csv,FALSE
cbl,LIAG,乌药,Lindera aggregata,樟科,山胡椒属,splist/original/census_2022_cbl.csv,FALSE
cbl,CAJA,乌蔹莓,Cayratia japonica,葡萄科,乌蔹莓属,splist/original/census_2022_cbl.csv,FALSE
cbl,EUDI,二列叶柃,Eurya distichophylla,山茶科,柃木属,splist/original/census_2022_cbl.csv,FALSE
cbl,NEAU,云和新木姜子,Neolitsea aurata var. paraciculata,樟科,新木姜子属,splist/original/census_2022_cbl.csv,FALSE
cbl,PEEU,五列木,Pentaphylax euryoides,五列木科,五列木属,splist/original/census_2022_cbl.csv,FALSE
cbl,ACCA,京梨猕猴桃,Actinidia callosa var. henryi,猕猴桃科,猕猴桃属,splist/original/census_2022_cbl.csv,FALSE
cbl,CANI,亮叶崖豆藤,Callerya nitida,蝶形花科,鸡血藤属,splist/original/census_2022_cbl.csv,FALSE
cbl,BELU,亮叶桦,Betula luminifera,桦木科,桦木属,splist/original/census_2022_cbl.csv,FALSE
cbl,ARLU,亮叶猴耳环,Archidendron lucidum,含羞草科,猴耳环属,splist/original/census_2022_cbl.csv,FALSE
cbl,SALU,亮叶雀梅藤,Sageretia lucida,鼠李科,雀梅藤属,splist/original/census_2022_cbl.csv,FALSE
cbl,BRSI,伯乐树,Bretschneidera sinensis,伯乐树科,伯乐树属,splist/original/census_2022_cbl.csv,FALSE
cbl,SYLA,光叶山矾,Symplocos lancifolia,山矾科,山矾属,splist/original/census_2022_cbl.csv,FALSE
cbl,PIGL,光叶海桐,Pittosporum glabratum,海桐花科,海桐花属,splist/original/census_2022_cbl.csv,FALSE
cbl,UVBO,光叶紫玉盘,Uvaria boniana,番荔枝科,紫玉盘属,splist/original/census_2022_cbl.csv,FALSE
cbl,ORGL,光叶红豆,Ormosia glaberrima,蝶形花科,红豆属,splist/original/census_2022_cbl.csv,FALSE
cbl,LAMA,全缘桂樱,Laurocerasus marginata,蔷薇科,桂樱属,splist/original/census_2022_cbl.csv,FALSE
cbl,PYAT,全缘火棘,Pyracantha atalantioides,蔷薇科,火棘属,splist/original/census_2022_cbl.csv,FALSE
cbl,ALCH,八角枫,Alangium chinense,八角枫科,八角枫属,splist/original/census_2022_cbl.csv,FALSE
cbl,ILCH,冬青,Ilex chinensis,冬青科,冬青属,splist/original/census_2022_cbl.csv,FALSE
cbl,MAPA,刨花润楠,Machilus pauhoi,樟科,润楠属,splist/original/census_2022_cbl.csv,FALSE
cbl,LASP,刺叶桂樱,Laurocerasus spinulosa,蔷薇科,桂樱属,splist/original/census_2022_cbl.csv,FALSE
cbl,BYGR,刺果藤,Byttneria grandifolia,梧桐科,刺果藤属,splist/original/census_2022_cbl.csv,FALSE
cbl,MALE,华东润楠,Machilus leptophylla,樟科,润楠属,splist/original/census_2022_cbl.csv,FALSE
cbl,CACR,华南云实,Caesalpinia crista,苏木科,云实属,splist/original/census_2022_cbl.csv,FALSE
cbl,LOCO,华南忍冬,Lonicera confusa,忍冬科,忍冬属,splist/original/census_2022_cbl.csv,FALSE
cbl,LIGR,华南木姜子,Litsea greenmaniana,樟科,木姜子属,splist/original/census_2022_cbl.csv,FALSE
cbl,CIAU,华南桂,Cinnamomum austrosinense,樟科,樟属,splist/original/census_2022_cbl.csv,FALSE
cbl,SYAU,华南蒲桃,Syzygium austrosinense,桃金娘科,蒲桃属,splist/original/census_2022_cbl.csv,FALSE
